Id,User,Created,Tweet,Description,Location
1338453515736268800,joongomie,2020-12-14 11:59:20,"RT @Pwetty_L: @joongomie LET'S WORK HARD FOR EXO

#엑소엘_서가대골디_투표하자
#EXOLvoteSMA_GDA
#EXO #엑소 @weareoneEXO
@B_hundred_Hyun @layzhang",엑소 ❝𝐥𝐢𝐟𝐞 𝐢𝐬 𝐚 𝐠𝐚𝐦𝐞❞ | #JONGIN 🤎,EXO Planet | cons | cbkist₆₁₄
1338453515736236032,mOrkbby,2020-12-14 11:59:20,RT @MARKtabakTENlor: the most handsome indeed https://t.co/hfbeRbLni6,🇲🇾 NCTzen OT23 STAY ATINY  @sunflwrbbie,Neocity
1338453515723665409,novita_destra,2020-12-14 11:59:20,"Yaahh youtube down 😭 
#YouTubeDOWN https://t.co/1n7izmu7uq",ig: _novita12,Madiun
1338453515719634944,hubertlepicki,2020-12-14 11:59:20,"@majson I clicked on Hangouts, broke that, it also broke Drieve as far as I understand. I pressed the mouse button too hard, sorry.",Preferred pronoun: 'Duuuuuuuude',"Bialystok, Poland"
1338453515715436545,NicholasPollo20,2020-12-14 11:59:20,@ArsenalHomerton Well I'll carry that visual with me all day...,"I am here for Arsenal FC, Arsenal WFC, and Columbus Crew SC. Husband, father, social worker. He/him/his",
1338453515702837251,BlossomVinson,2020-12-14 11:59:20,RT @laurenboebert: Tyranny is the virus.,"Love God, Family, My Life,Books, addicted to Digital Marketing, gardening. Strong Advocate for homeschooling and raising children for the future.","ÜT: 32.689115,-83.499871"
1338453515698626560,hannah_iversen,2020-12-14 11:59:20,"Tis the damn season is so sad
The rode not taken looks real good now
Fuck my feelings right?
Might hate my hometown… https://t.co/OmGI1B8xAa","She/her

I am that pastry you let get smashed in your backpack 😠",
1338453515694444547,DW05611,2020-12-14 11:59:20,RT @JackPosobiec: And just like that you aren’t allowed to criticize the government again,Herp/Derp/Durr,Earth
1338453515694350337,dilwc,2020-12-14 11:59:20,can youtube come back i still have to finish my date,#CHILDE: alive another day and i'm making it everyone's problem ⭒ @kokopffs the hua cheng to my xie lian ♡,20 、they/she/he
1338453515694268417,London_W4,2020-12-14 11:59:20,@KariMegeed You're assuming there's any sense in all this. I'm afraid that the government loves crushing small busi… https://t.co/werqzVmdeh,"London based photographer, living on a narrowboat and riding a Brompton. My life and travels seen through my photographs. Click onto my website for unique gifts","London, England"
1338453515690274821,vidadeantonio,2020-12-14 11:59:20,@LuiZord01 YouTube/drive/gmail tudo fora do ar,ainda serei o rei dos piratas // futuro especialista em senso comum com matematica,
